Net Status Report
Filename     : D:\Users\Documents\寒假任务\8、毕设\5、智慧景区的景点游览设计\硬件\智慧景区原理图\智慧景区导航.PcbDoc
Date         : 2020/4/25
Time         : 11:20:50
Time Elapsed : 00:00:00

Nets, Layer, Length
    +3.3, Signal Layers Only, 0mm
    +5, Signal Layers Only, 0mm
    BUSY, Signal Layers Only, 0mm
    CLK, Signal Layers Only, 0mm
    CS1, Signal Layers Only, 0mm
    CS2, Signal Layers Only, 0mm
    DO, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    MISO, Signal Layers Only, 0mm
    MOSI, Signal Layers Only, 0mm
    NetHC-1_3, Signal Layers Only, 0mm
    NetHC-1_4, Signal Layers Only, 0mm
    NetLED1_1, Signal Layers Only, 0mm
    NetLED1_2, Signal Layers Only, 0mm
    NetLS1_1, Signal Layers Only, 0mm
    NetLS1_2, Signal Layers Only, 0mm
    PEN, Signal Layers Only, 0mm
    PPS, Signal Layers Only, 0mm
    RES, Signal Layers Only, 0mm
    RX1, Signal Layers Only, 0mm
    RX2, Signal Layers Only, 0mm
    RX3, Signal Layers Only, 0mm
    SW1, Signal Layers Only, 0mm
    SW2, Signal Layers Only, 0mm
    TX1, Signal Layers Only, 0mm
    TX2, Signal Layers Only, 0mm
    TX3, Signal Layers Only, 0mm
count : 27
